"","AIR.PA.Open","AIR.PA.High","AIR.PA.Low","AIR.PA.Close","AIR.PA.Volume","AIR.PA.Adjusted"
"502",103.720001220703,104.839996337891,102.26000213623,102.5,1534251,95.7747039794922
"503",102.819999694824,102.919998168945,99.7699966430664,99.9899978637695,1768576,93.4293823242188
"504",103.5,104.26000213623,102.319999694824,102.400001525879,1699196,95.6812591552734
"505",103.580001831055,104.959999084473,102.139999389648,104.139999389648,2458965,97.3070983886719
"506",101.559997558594,103.379997253418,100.26000213623,102.059997558594,2048042,95.3635635375977
"507",103.559997558594,106.800003051758,102.819999694824,106.800003051758,1813712,99.7925643920898
"508",107.300003051758,111.080001831055,107.099998474121,111.080001831055,1960686,103.79175567627
"509",110.900001525879,112.419998168945,110.639999389648,111.839996337891,1141431,104.501884460449
"510",111.059997558594,111.73999786377,110.23999786377,111.680000305176,175333,104.352386474609
"511",110.839996337891,112.980003356934,110.400001525879,112.339996337891,749947,104.96907043457
"512",112.23999786377,113.819999694824,112.23999786377,113.419998168945,688913,105.978210449219
"513",112.900001525879,113.940002441406,111.620002746582,112.120002746582,788574,104.763511657715
"514",111.839996337891,112.800003051758,111.279998779297,112.680000305176,714942,105.286758422852
"515",112.860000610352,113.059997558594,112.099998474121,112.360000610352,360150,104.987762451172
"516",113.599998474121,116.26000213623,113.220001220703,116.139999389648,1320377,108.519744873047
"517",116.580001831055,119.860000610352,116,118.879997253418,1588549,111.079963684082
"518",119.319999694824,121.099998474121,117.199996948242,120.400001525879,1806200,112.50023651123
"519",118.199996948242,120.099998474121,117.379997253418,118.639999389648,1441589,110.855712890625
"520",118,118.620002746582,116.339996337891,117.699996948242,1244642,109.977394104004
"521",118,119.220001220703,116.580001831055,117.919998168945,1099153,110.182945251465
"522",118.599998474121,119.099998474121,117.139999389648,118.419998168945,1060555,110.650146484375
"523",118.720001220703,119.720001220703,117.580001831055,118.680000305176,1288629,110.893089294434
"524",118,118.459999084473,116.199996948242,117.300003051758,1278350,109.603637695312
